job_id,views,formatted_work_type,formatted_experience_level,normalized_salary,title_category,state
3658924039,24.0,Full-time,Not Specified,85000.0,Engineering,CO
3659406780,3.0,Full-time,Not Specified,39000.0,Other,NY
3663813835,24.0,Full-time,Not Specified,47500.0,Finance,NJ
3678077169,25.0,Contract,Not Specified,36400.0,Design,GA
3681437990,8.0,Full-time,Associate,66000.0,Other,WA
3684991720,2.0,Full-time,Not Specified,94640.0,Other,SC
3690117793,2.0,Contract,Not Specified,96000.0,Management/Executive,OR
3691793998,2.0,Full-time,Not Specified,31200.0,Senior/Lead,US - Metro Area (Unspecified State)
3698445650,2.0,Full-time,Not Specified,62500.0,Management/Executive,GA
3699309082,24.0,Contract,Not Specified,62400.0,Engineering,US - Metro Area (Unspecified State)
3700064749,1.0,Full-time,Not Specified,93600.0,Legal,CA
3700617207,2.0,Part-time,Not Specified,60320.0,Management/Executive,CA
3701198910,64.0,Full-time,Not Specified,47840.0,Healthcare,NJ
3704185899,16.0,Full-time,Not Specified,100000.0,Senior/Lead,GA
3704190127,10.0,Full-time,Mid-Senior level,85000.0,Design,US - Metro Area (Unspecified State)
3708903045,8.0,Full-time,Not Specified,125000.0,Legal,CA
3708944827,1.0,Full-time,Not Specified,139360.0,Healthcare,CA
3709767981,2.0,Full-time,Not Specified,65000.0,Sales,International/Other
3715249215,4.0,Full-time,Not Specified,57500.0,Other,GA
3715891138,4.0,Full-time,Not Specified,55000.0,Management/Executive,TN
3720682554,3.0,Full-time,Not Specified,75000.0,Other,OH
3726732147,2.0,Full-time,Not Specified,187500.0,Management/Executive,NY
3726764279,291.0,Full-time,Not Specified,70000.0,Senior/Lead,US - Metro Area (Unspecified State)
3727712512,2.0,Full-time,Not Specified,60000.0,Sales,TX
3728879926,23.0,Full-time,Not Specified,44400.0,Sales,CA
3736994600,2.0,Full-time,Not Specified,102500.0,Healthcare,VA
3742627219,4.0,Full-time,Not Specified,44720.0,Administrative/Office Support,IA
3745677818,11.0,Full-time,Not Specified,87500.0,Management/Executive,NY
3747072157,26.0,Full-time,Not Specified,116000.0,Management/Executive,CA
3748229910,2.0,Part-time,Not Specified,39000.0,Management/Executive,CO
3755323506,21.0,Full-time,Not Specified,55120.0,Finance,CA
3757672875,2337.0,Contract,Not Specified,52000.0,Administrative/Office Support,US - Unspecified
3761818635,1.0,Full-time,Not Specified,60000.0,Senior/Lead,OH
3761942097,11.0,Full-time,Not Specified,87500.0,Education,NY
3762860888,4.0,Part-time,Not Specified,36400.0,Sales,FL
3764329709,1.0,Full-time,Not Specified,31200.0,Technical/Trades,AR
3765212611,10.0,Full-time,Not Specified,45000.0,Other,TX
3766290342,8.0,Full-time,Not Specified,85000.0,Management/Executive,TX
3769036399,0.0,Full-time,Not Specified,49000.0,Management/Executive,NC
3769518300,2.0,Part-time,Not Specified,46800.0,Other,PA
3771168117,4.0,Part-time,Not Specified,26000.0,Marketing,US - Unspecified
3773070651,7.0,Full-time,Not Specified,67500.0,Management/Executive,CO
3774870894,59.0,Full-time,Not Specified,50035.0,Customer Service/Support,US - Metro Area (Unspecified State)
3776631402,12.0,Internship,Not Specified,37440.0,Other,NY
3777765500,3.0,Contract,Not Specified,42000.0,Other,US - Unspecified
3778036844,2.0,Full-time,Not Specified,225000.0,Healthcare,MD
3780003361,22.0,Full-time,Mid-Senior level,140000.0,Management/Executive,International/Other
3780415828,4.0,Contract,Not Specified,70000.0,Data/Analytics,NY
3784021865,1.0,Full-time,Not Specified,70000.0,Other,WI
3785146504,2.0,Full-time,Not Specified,39520.0,Healthcare,CA
3787279047,2.0,Full-time,Not Specified,240000.0,Sales,US - Metro Area (Unspecified State)
3787503302,67.0,Full-time,Not Specified,101000.0,Management/Executive,US - Unspecified
3787839455,14.0,Full-time,Not Specified,117500.0,Management/Executive,NJ
3790001722,42.0,Full-time,Not Specified,102500.0,Finance,NJ
3792233622,24.0,Full-time,Not Specified,45760.0,Data/Analytics,FL
3794063618,4.0,Full-time,Not Specified,48500.0,Other,US - Metro Area (Unspecified State)
3797460723,21.0,Full-time,Not Specified,60000.0,Engineering,TN
3799458858,22.0,Full-time,Not Specified,55000.0,Other,International/Other
3801646969,22.0,Contract,Not Specified,90000.0,Management/Executive,MI
3802026770,14.0,Contract,Not Specified,317200.0,Other,AZ
3803052628,36.0,Full-time,Mid-Senior level,155000.0,Engineering,TX
3803055615,46.0,Contract,Not Specified,125002.5,Finance,US - Unspecified
3804603307,14.0,Full-time,Not Specified,95680.0,Other,US - Metro Area (Unspecified State)
3804822096,6.0,Full-time,Not Specified,72500.0,Other,US - Unspecified
3811513595,53.0,Internship,Not Specified,41600.0,Other,CA
3813135937,200.0,Full-time,Not Specified,42500.0,Marketing,CO
3814546942,12.0,Full-time,Not Specified,72500.0,Management/Executive,NC
3814723048,28.0,Full-time,Not Specified,62500.0,Other,TX
3814983923,2.0,Part-time,Not Specified,50960.0,Administrative/Office Support,OH
3815284050,1.0,Full-time,Not Specified,67600.0,Administrative/Office Support,WA
3815847830,410.0,Full-time,Mid-Senior level,201200.0,Senior/Lead,International/Other
